id,Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
1567,"Breaking Inside ( feat . Lzzy Hale of Halestorm ) [ Bonus Track ] Shinedown The Sound of Madness ( Deluxe Edition ) Rock , Music , Alternative , Grunge , Metal , Hard Rock $ 1.29 24-Jun-08",,,,,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,3:47,
1568,"Breaking Inside ( feat . Lzzy Hale of Halestorm ) [ Bonus Track ] Rock , Music , Alternative , Grunge , Metal , Hard Rock 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 3:47 24-Jun-08",Shinedown,The Sound of Madness ( Deluxe Edition ),,$ 1.29,,,
1569,"Breaking Inside ( feat . Lzzy Hale of Halestorm ) [ Bonus Track ] Shinedown The Sound of Madness ( Deluxe Edition ) Rock , Music , Alternative , Grunge , Metal , Hard Rock 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 3:47",,,,$ 1.29,,,24-Jun-08
1570,"Breaking Inside ( feat . Lzzy Hale of Halestorm ) [ Bonus Track ] Rock , Music , Alternative , Grunge , Metal , Hard Rock $ 1.29 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 24-Jun-08",Shinedown,The Sound of Madness ( Deluxe Edition ),,,,3:47,
1571,Breaking Inside ( feat . Lzzy Hale of Halestorm ) [ Bonus Track ] 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 24-Jun-08,Shinedown,The Sound of Madness ( Deluxe Edition ),"Rock , Music , Alternative , Grunge , Metal , Hard Rock",$ 1.29,,3:47,
1572,"Breaking Inside ( feat . Lzzy Hale of Halestorm ) [ Bonus Track ] Shinedown The Sound of Madness ( Deluxe Edition ) Rock , Music , Alternative , Grunge , Metal , Hard Rock $ 1.29 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 3:47",,,,,,,24-Jun-08
1573,Breaking Inside ( feat . Lzzy Hale of Halestorm ) [ Bonus Track ] 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 3:47 24-Jun-08,Shinedown,The Sound of Madness ( Deluxe Edition ),"Rock , Music , Alternative , Grunge , Metal , Hard Rock",$ 1.29,,,
1574,Breaking Inside ( feat . Lzzy Hale of Halestorm ) [ Bonus Track ] The Sound of Madness ( Deluxe Edition ) 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 3:47 24-Jun-08,Shinedown,,"Rock , Music , Alternative , Grunge , Metal , Hard Rock",$ 1.29,,,
1575,Breaking Inside ( feat . Lzzy Hale of Halestorm ) [ Bonus Track ] Shinedown The Sound of Madness ( Deluxe Edition ) $ 1.29,,,"Rock , Music , Alternative , Grunge , Metal , Hard Rock",,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,3:47,24-Jun-08
1576,"Breaking Inside ( feat . Lzzy Hale of Halestorm ) [ Bonus Track ] The Sound of Madness ( Deluxe Edition ) Rock , Music , Alternative , Grunge , Metal , Hard Rock $ 1.29 3:47",Shinedown,,,,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,,24-Jun-08
1577,"Breaking Inside ( feat . Lzzy Hale of Halestorm ) [ Bonus Track ] Rock , Music , Alternative , Grunge , Metal , Hard Rock 24-Jun-08",Shinedown,The Sound of Madness ( Deluxe Edition ),,$ 1.29,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,3:47,
1578,"Breaking Inside ( feat . Lzzy Hale of Halestorm ) [ Bonus Track ] The Sound of Madness ( Deluxe Edition ) Rock , Music , Alternative , Grunge , Metal , Hard Rock $ 1.29 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .",Shinedown,,,,,3:47,24-Jun-08
1579,Second Chance ( Live Acoustic from Kansas City ) Somewhere In the Stratosphere ( Live ) $ 1.29 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,Shinedown,,"Rock , Music , Metal , Alternative , Hard Rock",,,5:06,18-Apr-11
1580,Second Chance ( Live Acoustic from Kansas City ) Shinedown Somewhere In the Stratosphere ( Live ) 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 5:06,,,"Rock , Music , Metal , Alternative , Hard Rock",$ 1.29,,,18-Apr-11
1581,Second Chance ( Live Acoustic from Kansas City ) Somewhere In the Stratosphere ( Live ) $ 1.29 5:06,Shinedown,,"Rock , Music , Metal , Alternative , Hard Rock",,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,,18-Apr-11
1582,Second Chance ( Live Acoustic from Kansas City ) Shinedown 5:06,,Somewhere In the Stratosphere ( Live ),"Rock , Music , Metal , Alternative , Hard Rock",$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,,18-Apr-11
1583,"Second Chance ( Live Acoustic from Kansas City ) Shinedown Somewhere In the Stratosphere ( Live ) Rock , Music , Metal , Alternative , Hard Rock 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .",,,,$ 1.29,,5:06,18-Apr-11
1584,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown Leave a Whisper ( Deluxe Version ) Rock , Music , Hard Rock , Alternative 2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States 3:59 27-May-03",,,,$ 1.29,,,
1585,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown Leave a Whisper ( Deluxe Version ) 2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States 3:59",,,"Rock , Music , Hard Rock , Alternative",$ 1.29,,,27-May-03
1586,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown Rock , Music , Hard Rock , Alternative $ 1.29 2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States",,Leave a Whisper ( Deluxe Version ),,,,3:59,27-May-03
1587,"Fake ( Demo ) Us and Them ( Deluxe Version ) Rock , Music , Metal , Hard Rock , Alternative $ 1.29",Shinedown,,,,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,5:05,4-Oct-05
1588,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown Leave a Whisper ( Deluxe Version ) $ 1.29 3:59 27-May-03",,,"Rock , Music , Hard Rock , Alternative",,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,,
1589,Fake ( Demo ) Us and Them ( Deluxe Version ) $ 1.29 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 4-Oct-05,Shinedown,,"Rock , Music , Metal , Hard Rock , Alternative",,,5:05,
1590,"Fake ( Demo ) Shinedown Us and Them ( Deluxe Version ) Rock , Music , Metal , Hard Rock , Alternative $ 1.29 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .",,,,,,5:05,4-Oct-05
1591,Fake ( Demo ) Shinedown $ 1.29 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 4-Oct-05,,Us and Them ( Deluxe Version ),"Rock , Music , Metal , Hard Rock , Alternative",,,5:05,
1592,"Fake ( Demo ) Rock , Music , Metal , Hard Rock , Alternative 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 4-Oct-05",Shinedown,Us and Them ( Deluxe Version ),,$ 1.29,,5:05,
1593,Fake ( Demo ) Us and Them ( Deluxe Version ) 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 5:05 4-Oct-05,Shinedown,,"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,,,
1594,Fake ( Demo ) Shinedown Us and Them ( Deluxe Version ) 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 5:05 4-Oct-05,,,"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,,,
1595,Fake ( Demo ) Us and Them ( Deluxe Version ) 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 5:05,Shinedown,,"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,,,4-Oct-05
1596,Fake ( Demo ) Us and Them ( Deluxe Version ) 5:05 4-Oct-05,Shinedown,,"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,,
1597,"Fake ( Demo ) Shinedown Us and Them ( Deluxe Version ) Rock , Music , Metal , Hard Rock , Alternative $ 1.29 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .",,,,,,5:05,4-Oct-05
1598,Fake ( Demo ),Shinedown,Us and Them ( Deluxe Version ),"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,5:05,4-Oct-05
1599,"Fake ( Demo ) Shinedown Us and Them ( Deluxe Version ) Rock , Music , Metal , Hard Rock , Alternative 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 4-Oct-05",,,,$ 1.29,,5:05,
1600,Fake ( Demo ) Us and Them ( Deluxe Version ) 5:05,Shinedown,,"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,,4-Oct-05
1601,"Fake ( Demo ) Shinedown Us and Them ( Deluxe Version ) Rock , Music , Metal , Hard Rock , Alternative 5:05",,,,$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,,4-Oct-05
1602,Fake ( Demo ) Shinedown 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 4-Oct-05,,Us and Them ( Deluxe Version ),"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,,5:05,
1603,"Fake ( Demo ) Shinedown Rock , Music , Metal , Hard Rock , Alternative $ 1.29 5:05",,Us and Them ( Deluxe Version ),,,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,,4-Oct-05
1604,Fake ( Demo ) 4-Oct-05,Shinedown,Us and Them ( Deluxe Version ),"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,5:05,
1605,Devour ( iTunes Session ) iTunes Session $ 1.29,Shinedown,,"Rock , Music",,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:25,6-Apr-10
1606,Devour ( iTunes Session ) iTunes Session,Shinedown,,"Rock , Music",$ 1.29,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:25,6-Apr-10
1607,Devour ( iTunes Session ) 3:25 6-Apr-10,Shinedown,iTunes Session,"Rock , Music",$ 1.29,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,,
1608,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown Rock , Music , Hard Rock , Alternative $ 1.29 2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States",,Leave a Whisper ( Deluxe Version ),,,,3:59,27-May-03
1609,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03
1610,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) $ 1.29 3:59",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,,27-May-03
1611,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Leave a Whisper ( Deluxe Version ) $ 1.29 2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States 3:59",Shinedown,,"Rock , Music , Hard Rock , Alternative",,,,27-May-03
1612,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) $ 1.29 3:59 27-May-03",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,,
1613,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown Leave a Whisper ( Deluxe Version )",,,"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03
1614,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown 2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States 27-May-03",,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,,3:59,
1615,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown Leave a Whisper ( Deluxe Version ) Rock , Music , Hard Rock , Alternative $ 1.29 2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States 3:59",,,,,,,27-May-03
1616,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown",,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03
1617,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Leave a Whisper ( Deluxe Version ) 2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States",Shinedown,,"Rock , Music , Hard Rock , Alternative",$ 1.29,,3:59,27-May-03
1618,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown $ 1.29",,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03
1619,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown Rock , Music , Hard Rock , Alternative",,Leave a Whisper ( Deluxe Version ),,$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03
1620,Fake ( Demo ) Shinedown 5:05,,Us and Them ( Deluxe Version ),"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,,4-Oct-05
1621,"Fake ( Demo ) Shinedown Us and Them ( Deluxe Version ) Rock , Music , Metal , Hard Rock , Alternative $ 1.29 5:05",,,,,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,,4-Oct-05
1622,"Fake ( Demo ) Us and Them ( Deluxe Version ) Rock , Music , Metal , Hard Rock , Alternative $ 1.29 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 4-Oct-05",Shinedown,,,,,5:05,
1623,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown Leave a Whisper ( Deluxe Version ) Rock , Music , Hard Rock , Alternative $ 1.29 2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States",,,,,,3:59,27-May-03
1624,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Rock , Music , Hard Rock , Alternative $ 1.29 27-May-03",Shinedown,Leave a Whisper ( Deluxe Version ),,,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,
1625,"Fake ( Demo ) Us and Them ( Deluxe Version ) Rock , Music , Metal , Hard Rock , Alternative 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 4-Oct-05",Shinedown,,,$ 1.29,,5:05,
1626,"Fake ( Demo ) Rock , Music , Metal , Hard Rock , Alternative $ 1.29 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .",Shinedown,Us and Them ( Deluxe Version ),,,,5:05,4-Oct-05
1627,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Rock , Music , Hard Rock , Alternative 27-May-03",Shinedown,Leave a Whisper ( Deluxe Version ),,$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,
1628,Fake ( Demo ) Shinedown Us and Them ( Deluxe Version ) 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 4-Oct-05,,,"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,,5:05,
1629,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Leave a Whisper ( Deluxe Version ) 2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States",Shinedown,,"Rock , Music , Hard Rock , Alternative",$ 1.29,,3:59,27-May-03
1630,"Fake ( Demo ) Shinedown Rock , Music , Metal , Hard Rock , Alternative $ 1.29 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .",,Us and Them ( Deluxe Version ),,,,5:05,4-Oct-05
1631,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown Leave a Whisper ( Deluxe Version ) Rock , Music , Hard Rock , Alternative 27-May-03",,,,$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,
1632,"45 Shinedown Rock , Music , Hard Rock , Alternative $ 1.29 2003 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States 4:09",,Leave a Whisper,,,,,27-May-03
1633,"45 Shinedown Rock , Music , Hard Rock , Alternative $ 1.29 2003 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States 4:09 27-May-03",,Leave a Whisper,,,,,
1634,45 27-May-03,Shinedown,Leave a Whisper,"Rock , Music , Hard Rock , Alternative",$ 1.29,2003 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,4:09,
1635,"45 Shinedown Rock , Music , Hard Rock , Alternative 2003 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States 4:09 27-May-03",,Leave a Whisper,,$ 1.29,,,
1636,"45 Leave a Whisper Rock , Music , Hard Rock , Alternative 4:09 27-May-03",Shinedown,,,$ 1.29,2003 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,,
1637,45 Shinedown 27-May-03,,Leave a Whisper,"Rock , Music , Hard Rock , Alternative",$ 1.29,2003 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,4:09,
1638,"Some Day Shinedown Rock , Music , Metal , Alternative , Hard Rock 4-Oct-05",,Us and Them,,$ 1.29,2005 Atlantic Recording Corp. . For the United States and WEA International Inc. for the world outside of the United States .,3:14,
1639,Some Day Us and Them 2005 Atlantic Recording Corp. . For the United States and WEA International Inc. for the world outside of the United States .,Shinedown,,"Rock , Music , Metal , Alternative , Hard Rock",$ 1.29,,3:14,4-Oct-05
1640,"Some Day Us and Them Rock , Music , Metal , Alternative , Hard Rock 2005 Atlantic Recording Corp. . For the United States and WEA International Inc. for the world outside of the United States . 3:14 4-Oct-05",Shinedown,,,$ 1.29,,,
1641,"Some Day Shinedown Us and Them Rock , Music , Metal , Alternative , Hard Rock 3:14",,,,$ 1.29,2005 Atlantic Recording Corp. . For the United States and WEA International Inc. for the world outside of the United States .,,4-Oct-05
1642,"Some Day Shinedown Rock , Music , Metal , Alternative , Hard Rock $ 1.29 2005 Atlantic Recording Corp. . For the United States and WEA International Inc. for the world outside of the United States . 4-Oct-05",,Us and Them,,,,3:14,
1643,"Some Day Shinedown Us and Them Rock , Music , Metal , Alternative , Hard Rock 2005 Atlantic Recording Corp. . For the United States and WEA International Inc. for the world outside of the United States . 3:14",,,,$ 1.29,,,4-Oct-05
1644,"Some Day Shinedown Rock , Music , Metal , Alternative , Hard Rock $ 1.29 3:14",,Us and Them,,,2005 Atlantic Recording Corp. . For the United States and WEA International Inc. for the world outside of the United States .,,4-Oct-05
1645,"Some Day Shinedown Us and Them Rock , Music , Metal , Alternative , Hard Rock $ 1.29 2005 Atlantic Recording Corp. . For the United States and WEA International Inc. for the world outside of the United States . 4-Oct-05",,,,,,3:14,
1646,"Some Day Us and Them Rock , Music , Metal , Alternative , Hard Rock $ 1.29 3:14",Shinedown,,,,2005 Atlantic Recording Corp. . For the United States and WEA International Inc. for the world outside of the United States .,,4-Oct-05
1647,Some Day Shinedown Us and Them $ 1.29 2005 Atlantic Recording Corp. . For the United States and WEA International Inc. for the world outside of the United States . 4-Oct-05,,,"Rock , Music , Metal , Alternative , Hard Rock",,,3:14,
1648,"Save Me ( Pull Mix ) Rock , Music 2006 Atlanic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States . 20-Jun-06",Shinedown,Shinedown - EP,,$ 1.29,,4:19,
1649,"Save Me ( Pull Mix ) Shinedown Shinedown - EP Rock , Music $ 1.29 20-Jun-06",,,,,2006 Atlanic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States .,4:19,
1650,"Happy X-Mas ( War Is Over ) Shinedown Holiday , Music $ 1.29",,Happy X-Mas ( War Is Over ) - Single,,,2006 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:34,5-Dec-06
1651,"Call Me Rock , Music , Metal , Alternative , Grunge , Hard Rock $ 1.29 2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States 24-Jun-08",Shinedown,The Sound of Madness,,,,3:42,
1652,Call Me The Sound of Madness $ 1.29 2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States 3:42 24-Jun-08,Shinedown,,"Rock , Music , Metal , Alternative , Grunge , Hard Rock",,,,
1653,"Call Me Shinedown The Sound of Madness Rock , Music , Metal , Alternative , Grunge , Hard Rock $ 1.29 2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States 3:42 24-Jun-08",,,,,,,
1654,Call Me The Sound of Madness $ 1.29 3:42,Shinedown,,"Rock , Music , Metal , Alternative , Grunge , Hard Rock",,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,,24-Jun-08
1655,"Son of Sam ( Bonus Track ) Shinedown Rock , Music , Metal , Alternative , Grunge , Hard Rock 3:37 23-Jun-08",,The Sound of Madness ( Deluxe Version ),,Album Only,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,,
1656,Misfits Shinedown 4:05 18-Sep-15,,Threat to Survival,"Rock , Music , Alternative , Hard Rock",$ 1.29,2015 Atlanic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States .,,
1657,Through the Ghost Shinedown $ 1.29 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 23-Mar-12,,Amaryllis,"Rock , Music , Alternative , Grunge , Hard Rock , Metal",,,4:01,
1658,"Son of Sam ( Bonus Track ) Shinedown Rock , Music , Metal , Alternative , Grunge , Hard Rock 2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States 3:37",,The Sound of Madness ( Deluxe Version ),,Album Only,,,23-Jun-08
1659,Through the Ghost $ 1.29 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 4:01 23-Mar-12,Shinedown,Amaryllis,"Rock , Music , Alternative , Grunge , Hard Rock , Metal",,,,
1660,Misfits Shinedown Threat to Survival $ 1.29 2015 Atlanic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States . 4:05 18-Sep-15,,,"Rock , Music , Alternative , Hard Rock",,,,
1661,Son of Sam ( Bonus Track ) Shinedown Album Only 3:37 23-Jun-08,,The Sound of Madness ( Deluxe Version ),"Rock , Music , Metal , Alternative , Grunge , Hard Rock",,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,,
1662,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown Rock , Music , Hard Rock , Alternative 3:59",,Leave a Whisper ( Deluxe Version ),,$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,,27-May-03
1663,"Misfits Rock , Music , Alternative , Hard Rock 2015 Atlanic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States . 4:05",Shinedown,Threat to Survival,,$ 1.29,,,18-Sep-15
1664,"Misfits Rock , Music , Alternative , Hard Rock $ 1.29 4:05",Shinedown,Threat to Survival,,,2015 Atlanic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States .,,18-Sep-15
1665,Misfits Shinedown Threat to Survival,,,"Rock , Music , Alternative , Hard Rock",$ 1.29,2015 Atlanic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States .,4:05,18-Sep-15
1666,"Son of Sam ( Bonus Track ) The Sound of Madness ( Deluxe Version ) Rock , Music , Metal , Alternative , Grunge , Hard Rock Album Only 2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States 23-Jun-08",Shinedown,,,,,3:37,
1667,Misfits Shinedown Threat to Survival $ 1.29 2015 Atlanic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States . 4:05,,,"Rock , Music , Alternative , Hard Rock",,,,18-Sep-15
1668,"45 Leave a Whisper Rock , Music , Hard Rock , Alternative $ 1.29 4:09 27-May-03",Shinedown,,,,2003 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,,
1669,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown Rock , Music , Hard Rock , Alternative 2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States 3:59 27-May-03",,Leave a Whisper ( Deluxe Version ),,$ 1.29,,,
1670,"Son of Sam ( Bonus Track ) Rock , Music , Metal , Alternative , Grunge , Hard Rock 3:37 23-Jun-08",Shinedown,The Sound of Madness ( Deluxe Version ),,Album Only,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,,
1671,"Misfits Shinedown Threat to Survival Rock , Music , Alternative , Hard Rock 2015 Atlanic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States . 18-Sep-15",,,,$ 1.29,,4:05,
1672,"Misfits Rock , Music , Alternative , Hard Rock 18-Sep-15",Shinedown,Threat to Survival,,$ 1.29,2015 Atlanic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States .,4:05,
1673,"Misfits Shinedown Rock , Music , Alternative , Hard Rock",,Threat to Survival,,$ 1.29,2015 Atlanic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States .,4:05,18-Sep-15
1674,Best of Cr247 Chase Rice Album Only 6:57 19-Aug-14,,Ignite the Night ( Party Edition ),"Country , Music , Urban Cowboy , Contemporary Country",,"2014 Dack Janiels Records , under exclusive license to Sony Music Entertainment .",,
1675,Beats a Million Bucks Chase Rice 2011 Artist Revolution,,Country As Me,"Country , Music , Rock",$ 0.99,,4:15,8-Mar-11
1676,"Happy Hour ( Worktape ) Chase Rice Country , Music 2012 Dack Janiels Music",,Dirt Road Communion,,$ 0.99,,7:43,20-Mar-12
1677,Happy Hour ( Worktape ) Chase Rice Dirt Road Communion $ 0.99 7:43,,,"Country , Music",,2012 Dack Janiels Music,,20-Mar-12
1678,"Best of Cr247 Chase Rice Ignite the Night ( Party Edition ) Country , Music , Urban Cowboy , Contemporary Country 2014 Dack Janiels Records , under exclusive license to Sony Music Entertainment . 19-Aug-14",,,,Album Only,,6:57,
1679,"Happy Hour ( Worktape ) Country , Music 7:43 20-Mar-12",Chase Rice,Dirt Road Communion,,$ 0.99,2012 Dack Janiels Music,,
1680,"Best of Cr247 Ignite the Night ( Party Edition ) Album Only 2014 Dack Janiels Records , under exclusive license to Sony Music Entertainment . 19-Aug-14",Chase Rice,,"Country , Music , Urban Cowboy , Contemporary Country",,,6:57,
1681,"Best of Cr247 Ignite the Night ( Party Edition ) Country , Music , Urban Cowboy , Contemporary Country Album Only 2014 Dack Janiels Records , under exclusive license to Sony Music Entertainment . 6:57",Chase Rice,,,,,,19-Aug-14
1682,Happy Hour ( Worktape ) Chase Rice $ 0.99 2012 Dack Janiels Music 20-Mar-12,,Dirt Road Communion,"Country , Music",,,7:43,
